Date,Income,Expense,time
5/2/2018,0.0,69.0,02:17:17
4/2/2018,0.0,452.0,01:10:43
4/2/2018,0.0,50.0,15:02:22
4/2/2018,0.0,35.0,18:46:32
3/2/2018,0.0,10.0,10:39:25
3/2/2018,0.0,945.0,03:07:26
3/2/2018,6.0,0.0,02:04:57
2/2/2018,0.0,82.0,14:35:01
2/2/2018,0.0,2836.0,11:24:44
2/2/2018,6.0,0.0,06:09:12
2/2/2018,0.0,170.0,22:30:25
1/2/2018,0.0,30.0,02:24:52
1/2/2018,0.0,15.0,00:52:44
1/2/2018,0.0,50000.0,01:10:45
1/2/2018,0.0,10000.0,04:25:28
1/2/2018,0.0,2000.0,02:19:38
1/2/2018,0.0,2000.0,01:53:21
1/2/2018,0.0,10000.0,04:09:10
31/01/2018,0.0,320.0,04:37:11
31/01/2018,0.0,50.0,11:42:23
31/01/2018,64636.0,0.0,17:43:20
31/01/2018,0.0,69.0,05:02:51
30/01/2018,0.0,10.0,21:06:31
30/01/2018,0.0,20.0,15:12:09
30/01/2018,0.0,10000.0,09:59:39
30/01/2018,0.0,100.0,16:48:26
29/01/2018,0.0,45.0,02:20:29
29/01/2018,0.0,42.0,11:11:00
29/01/2018,0.0,69.0,12:30:24
28/01/2018,0.0,24.0,03:27:13
28/01/2018,0.0,976.9,21:49:56
28/01/2018,0.0,764.0,15:49:57
27/01/2018,0.0,43000.0,01:10:14
27/01/2018,0.0,30000.0,12:46:44
26/01/2018,0.0,15.0,01:33:24
26/01/2018,0.0,20.0,13:16:37
26/01/2018,0.0,1009.0,00:50:12
26/01/2018,0.0,20.0,07:33:47
26/01/2018,0.0,69.0,21:56:27
26/01/2018,0.0,25.0,12:05:05
26/01/2018,0.0,38.0,15:46:34
25/01/2018,0.0,70.0,20:14:27
24/01/2018,0.0,97.14,00:10:59
24/01/2018,0.0,35.0,23:36:38
23/01/2018,0.0,273.0,14:24:38
22/01/2018,0.0,14.0,13:38:41
22/01/2018,0.0,162.0,16:02:46
22/01/2018,0.0,30.0,01:53:21
22/01/2018,0.0,69.0,13:11:38
21/01/2018,0.0,384.0,17:01:04
20/01/2018,2.0,0.0,12:50:02
20/01/2018,0.0,10.0,14:58:51
20/01/2018,0.0,45.0,18:08:03
20/01/2018,0.0,179.0,12:09:54
19/01/2018,0.0,17.0,14:47:38
19/01/2018,0.0,53.0,23:15:17
19/01/2018,0.0,20.0,10:20:41
19/01/2018,0.0,46.0,18:06:44
18/01/2018,0.0,50000.0,20:52:22
18/01/2018,0.0,219.0,16:30:25
18/01/2018,0.0,42.0,13:32:52
18/01/2018,0.0,69.0,15:14:16
16/01/2018,0.0,165.0,07:25:38
16/01/2018,0.0,69.0,20:02:28
16/01/2018,0.0,298.0,12:24:57
15/01/2018,0.0,284.0,16:33:34
15/01/2018,0.0,38.0,13:46:05
15/01/2018,0.0,40.0,14:04:41
15/01/2018,0.0,266.0,09:18:23
14/01/2018,0.0,40.0,04:25:27
